,2,3,4,5,6,7,8,9,10,11
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,D,S,S,S,S,S
18,D,D,D,D,D,S,S,H,H,H
17,H,D,D,D,D,H,H,H,H,H
16,H,H,D,D,D,H,H,H,H,H
15,H,H,D,D,D,H,H,H,H,H
14,H,H,H,D,D,H,H,H,H,H
13,H,H,H,D,D,H,H,H,H,H
